"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",27,15,25,19,25,28,18,26,14,14
"50%",27,15,25,19,25,28,18,26,23,23
"97.5%",31,20,30,24,30,33,23,31,35,35
