"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",28,12,25,25,34,34,27,37,19,19
"50%",28,12,25,25,34,34,27,37,30,30
"97.5%",36,22,35,35,44,44,37,47,44,44
