"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",16,20,22,23,30,29,30,30,18,18
"50%",17,21,23,24,31,30,31,31,30,30
"97.5%",27,45,47,48,55,54,55,56,55,55
