"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",10,11,8,8,20,16,14,18,7,7
"50%",10,11,8,8,20,16,14,18,15,15
"97.5%",14,20,17,17,29,25,23,27,26,26
