"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",16,9,9,17,12,19,15,14,8,8
"50%",18,10,10,18,13,20,16,15,16,16
"97.5%",29,23,23,31,26,34,29,29,31,31
