"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",9,5,7,10,10,14,8,14,6,6
"50%",14,10,12,15,15,19,13,19,16,16
"97.5%",24,33,35,38,38,42,37,42,39,39
