"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",13,4,7,12,13,12,8,15,4,4
"50%",13,4,7,12,13,12,8,15,10,10
"97.5%",16,8,11,16,17,16,12,19,19,19
