"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",9,9,9,11,11,17,11,8,6,6
"50%",10,10,10,12,12,18,12,9,13,13
"97.5%",18,27,27,29,29,35,29,26,30,30
