"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",5,7,9,6,12,14,7,5,3,3
"50%",5,7,9,6,12,14,7,5,9,9
"97.5%",6,12,15,12,18,20,13,11,17,17
