"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",16,9,9,17,12,19,15,14,8,8
"50%",18,11,11,19,14,21,17,16,17,17
"97.5%",30,26,26,34,30,37,33,32,34,34
