"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",0,37,37,37,38,38,38,39,39,39
"50%",1,763,761,760,772,781,784,795,795,795
"97.5%",4,1487,1483,1483,1505,1522,1528,1551,1551,1551
