"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",13,4,7,12,13,12,8,15,5,5
"50%",13,4,7,12,13,12,8,15,11,11
"97.5%",18,10,13,18,19,18,14,21,20,20
