"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",6,5,3,8,6,7,6,6,2,2
"50%",6,5,3,8,6,7,6,6,6,6
"97.5%",8,9,7,12,10,11,10,10,13,13
