"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",14,10,13,9,15,16,15,12,7,7
"50%",16,11,14,10,16,17,16,13,16,16
"97.5%",26,26,30,26,32,33,32,29,33,33
