"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",15,6,10,6,19,9,7,8,4,4
"50%",15,6,10,6,19,9,7,8,10,10
"97.5%",17,8,12,8,21,11,9,10,17,17
