"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",10,3,9,11,13,6,12,9,4,4
"50%",11,4,10,12,14,7,13,10,11,11
"97.5%",20,18,24,26,29,21,28,25,27,27
