"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",9,9,9,11,11,17,11,8,5,5
"50%",9,9,9,11,11,17,11,8,11,11
"97.5%",13,16,16,18,18,24,18,15,21,21
