"","Location","detection_prob_mean","detection_prob_sd","infection_prob_mean","infection_prob_sd","2009_mean","2009_sd","2010_mean","2010_sd","2011_mean","2011_sd","2012_mean","2012_sd","2013_mean","2013_sd","2014_mean","2014_sd","2015_mean","2015_sd","2016_mean","2016_sd","2017_mean","2017_sd","2018_mean","2018_sd"
"1","Brunswick",0.976409934041358,0.0449750320158675,0.00112051256913735,0.000108786314310729,27.4717514388512,27.4717514388512,15.5924430695076,1.47373674719488,25.5963636661242,1.48214544258638,19.5992140879585,1.48650830446267,25.5984319172419,1.4855868335125,28.6018033964994,1.49324560733059,18.6040700157759,1.49835313390642,26.6079590449645,1.50637914966601,23.3332359029999,5.33273487340619,23.3339993670926,5.33376053523195
"2","Cape_Elizabeth",0.83418356902966,0.186069747084989,0.00157396111638825,0.000574672404730086,10.989258065454,10.989258065454,12.1984292650565,5.25074682539044,12.1848228586834,5.23078985637324,14.1681398708047,5.20359604800221,14.2049788947566,5.26485131950721,20.2178667052561,5.27893592826091,14.2148756944775,5.27450567041387,11.2059006798082,5.26442444027589,14.2260818254384,6.42035960997607,14.2270115398238,6.41779211246636
"3","Casco",0.909616291539082,0.141946178357785,0.00179476834537081,0.00059472548210859,6.45264973486239,6.45264973486239,5.860317090857,2.1847770961832,3.8702839971472,2.20902987775171,8.87930494257092,2.23074108392932,6.87524656156654,2.22064262741066,7.88754106872689,2.24502869449562,6.88340808513051,2.23995053278807,6.89588760671901,2.26385822882296,7.01755249784398,3.52174704964388,7.00269166151909,3.51763116077526
"4","Cumberland",0.837197944636948,0.169163492375713,0.0021957349576209,0.000647942023301636,17.0937212469177,17.0937212469177,13.2783666409039,4.73942573895371,16.3402629904783,4.82465772238114,12.3521007166254,4.83848095002889,18.370068928532,4.86697287816158,19.4265498404286,4.94426225962182,18.4813588016635,5.01435329981254,15.5040142589,5.05394484363271,16.9247885087567,6.46903835600082,16.9156085532369,6.45161279425759
"5","Falmouth",0.93383120292899,0.100039232887926,0.00152010509584601,0.000261957220711264,20.3212482559949,20.3212482559949,9.36306422957632,2.70944026848477,20.3702560550855,2.72440467518021,23.3583591797404,2.69816384579012,13.3876584660785,2.751394121668,24.4038513655937,2.78713237598153,10.4076931956197,2.79442572597748,18.3831943147942,2.74367768032929,17.263216798659,5.10262064682387,17.2809730293997,5.10347462804603
"6","Freeport",0.826584141001875,0.169113204322972,0.00220029494103023,0.000631934872121371,19.8165769703134,19.8165769703134,12.7591709224236,5.05809418673469,12.7645958433881,5.06852921224502,20.7315168056111,5.02382065754559,15.794416492676,5.10491272964225,22.8514461174784,5.17561347344241,18.8098742723982,5.12452095100883,17.8503985465335,5.17565389022598,17.7724007050488,6.6181864952119,17.7655960751212,6.61937755521837
"7","Gorham",0.623988982202068,0.154023849961349,0.00235564969483947,0.000625773287135111,34.5366427729409,34.5366427729409,39.9351486221461,10.6517590741012,42.0651216359801,10.7343265780366,40.1318017164364,10.7747060687935,40.3276926035175,10.8989585480899,44.4815368766883,10.9905817315965,33.7338049965375,11.1495584865757,35.9580584497624,11.2962614762799,41.0611662199809,12.6427209703435,41.0670709305338,12.6436992921411
"8","Gray",0.950500543254535,0.0866802675519205,0.00183687947938724,0.000301076469324795,10.3494902653564,10.3494902653564,11.8581313059617,2.05362099453635,8.8707445438151,2.08371405192997,8.86994800128288,2.07546591280423,20.8740647854593,2.08869359551522,16.8844934462689,2.11723949539774,14.8944147384028,2.13774554197218,18.8999458456232,2.14262611625468,14.9483298895356,4.57912277750941,14.9347150585971,4.5659228578645
"9","Harpswell",0.971444917650562,0.0562806563259878,0.00119379218769394,0.000214093333739509,11.113964952949,11.113964952949,3.1852009225038,0.61238878156857,6.18460460114233,0.610282290503794,6.18340508659831,0.607144010498241,5.18191428319462,0.601968226209848,4.18638860224487,0.614359626517896,3.18232735599431,0.605925904926469,10.1819043572309,0.603665317312689,5.54943645340733,2.55672806177675,5.55145218758697,2.55739358742813
"10","Naples",0.947493057299348,0.0979418526873472,0.00131967498823015,0.000316685132753549,5.05263884288396,5.05263884288396,2.34712101137242,1.04147980660116,4.34717161679732,1.04644924213679,4.34950866732914,1.04965821384229,7.35588955135991,1.06087672764918,5.35835081520739,1.07317511150788,6.35782635898568,1.07444678258329,5.36082128004122,1.0786414770955,5.32576552206397,2.63845573982253,5.3277437341283,2.63679613753221
