"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",15,5,12,8,17,15,12,11,6,6
"50%",15,5,12,8,17,15,12,11,12,12
"97.5%",19,10,17,13,22,20,17,16,21,21
