"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",5,2,4,4,7,5,6,5,1,1
"50%",5,2,4,4,7,5,6,5,5,5
"97.5%",6,4,6,6,9,8,9,8,11,11
