"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",19,8,19,22,12,23,9,17,9,9
"50%",19,8,19,22,12,23,9,17,17,17
"97.5%",27,17,28,31,22,33,19,27,29,29
