"","Location","detection_prob_mean","detection_prob_sd","infection_prob_mean_2009","infection_prob_mean_2010","infection_prob_mean_2011","infection_prob_mean_2012","infection_prob_mean_2013","infection_prob_mean_2014","infection_prob_mean_2015","infection_prob_mean_2016","infection_prob_mean_2017","infection_prob_mean_2018","infection_prob_sd_2009","infection_prob_sd_2010","infection_prob_sd_2011","infection_prob_sd_2012","infection_prob_sd_2013","infection_prob_sd_2014","infection_prob_sd_2015","infection_prob_sd_2016","infection_prob_sd_2017","infection_prob_sd_2018","2009_mean","2009_sd","2010_mean","2010_sd","2011_mean","2011_sd","2012_mean","2012_sd","2013_mean","2013_sd","2014_mean","2014_sd","2015_mean","2015_sd","2016_mean","2016_sd","2017_mean","2017_sd","2018_mean","2018_sd"
"1","Baldwin",0.605970562377606,0.374055230334344,0.173205388514216,0.173205428612542,0.173205441729979,0.17320543435717,0.173205406092273,0.173205404106387,0.173205433014243,0.173205417108477,0.173205435150553,0.173205446051896,0.30825502190189,0.308254994905484,0.308254995851346,0.308254995095501,0.308254999559507,0.308255000645313,0.308254995016924,0.308254995922051,0.308254995151049,0.308254996520066,0.393907018631716,0.730173957688361,264.13147191909,470.160349021617,263.444853559351,468.93301065125,263.270363576354,468.621978293424,267.257204059977,475.717509969071,270.382095483904,481.268269010366,271.413591700451,483.112022858955,275.393686380034,490.202023554586,275.398904494213,490.202723817138,275.392348602635,490.202226189397
"2","Cape_Elizabeth",0.934420471581899,0.102343342076727,0.00130508124287033,0.00130506124247837,0.00130505839137637,0.00130505760016398,0.00130507888544575,0.00130507291604193,0.00130506417467642,0.00130506095093874,0.00130506257771043,0.00130505528545045,0.000238378965079623,0.000238371356078741,0.000238372579027743,0.000238373054965125,0.000238376908098975,0.000238372914857616,0.000238370829770632,0.000238371447482329,0.000238371029721716,0.000238374820637993,9.59052783261284,1.19961194768188,9.94106040371564,1.96311031678269,9.93630432951755,1.95564378983712,11.9314242401526,1.94771789922418,11.9429585761578,1.96844562255217,17.9454444324131,1.97205638280922,11.9438711056693,1.96694372685722,8.94361659693127,1.96726790261655,11.7946854873565,4.05303913329702,11.7972028101467,4.05401701997723
"3","Casco",0.944195969077897,0.0989508037009152,0.00164563845940466,0.00164562540182176,0.00164562439652492,0.00164562459071246,0.00164562854389038,0.00164563028068605,0.0016456258716283,0.00164562753953802,0.00164562546421947,0.00164562428903544,0.00036496374363447,0.000364939966246459,0.000364941265900963,0.000364940874560581,0.000364941735031727,0.000364944434809819,0.000364939815613052,0.000364940603359597,0.000364939933253184,0.000364941522181616,6.22293973854483,0.616485948661236,5.4363724849744,1.18973531021924,3.44211261555523,1.20166734288755,8.44685103940708,1.21224327102066,6.44564684949252,1.21054749268081,7.45173364080633,1.22417459817718,6.44909580647605,1.21832148675705,6.45554076099567,1.23311813072805,6.43493784896619,2.90851937178621,6.43394447161408,2.9079394391886
"4","Freeport",0.859799289728249,0.152223478558757,0.00206697824735985,0.00206694772068167,0.00206694562902958,0.00206694133523553,0.00206695621228826,0.00206696474654486,0.00206695429823152,0.00206695043404929,0.0020669501221098,0.00206694562902958,0.000521985107056597,0.000521961780987807,0.000521962045011288,0.000521963844932231,0.00052196389820387,0.00052196994613233,0.00052196303186288,0.000521961943982395,0.000521961898348042,0.000521962045011288,19.0839238616559,3.78103603030585,11.8393777661493,4.14941363368489,11.8424336675373,4.15339182888278,19.819062905904,4.11950335059376,14.8666643148426,4.18601235521814,21.9068770765259,4.23984894334075,17.8772264546889,4.19783142439059,16.9076742468896,4.24351278395686,16.6953559804191,5.86441035623333,16.693943416093,5.86292418620475
"5","Gray",0.936855594434009,0.103881360636138,0.00186026193058188,0.00186019232460145,0.00186018428806333,0.00186018662800678,0.00186022297341078,0.00186022736243737,0.00186019479295128,0.0018602056820538,0.00186019085083908,0.00186018419597785,0.000346049386936631,0.000346016469035545,0.000346016652085521,0.00034601649751348,0.000346024008038607,0.000346026051149824,0.00034601660569343,0.000346018233411538,0.000346016429925357,0.000346016659906754,10.5683931085116,1.20072455899805,12.1411960271252,2.47784513265618,9.15404647078352,2.50375514504461,9.15616808206578,2.5105841891979,21.1636371533046,2.52460443537064,17.1763590865767,2.55010994099296,15.1882611711818,2.5722678878441,19.1955815035477,2.58620058517099,15.1260228772286,4.79423873831168,15.1238096428006,4.79519589673225
"6","Harpswell",0.978698571200659,0.0430795029983585,0.00115877932778874,0.00115878596224009,0.00115878545510786,0.00115878972946043,0.00115878322843051,0.00115878103496108,0.00115878336692433,0.00115878530686951,0.00115878439098138,0.00115878666571675,0.000199128082040687,0.000199114965125273,0.000199114681106112,0.000199119521703354,0.000199114851099213,0.000199118702535778,0.000199114757305423,0.000199114617204591,0.000199114437581073,0.000199115512235433,11.0425824760266,0.223688264597003,3.12916094584802,0.46413466595809,6.12901304312884,0.463428077664219,6.12757386187507,0.459785407856011,5.127282108566,0.458812071820067,4.12981716567513,0.464856330832473,3.12724744034872,0.458798136411227,10.1266157584157,0.457723867528713,5.38762578766077,2.4968455182502,5.38730431873689,2.49604135909724
"7","Naples",0.958158979368531,0.0805000080382909,0.00125827372019919,0.00125825991542137,0.001258258251579,0.00125825917765648,0.00125826459577231,0.00125826487722476,0.00125826010097854,0.00125826238420603,0.00125825936127824,0.00125825815127117,0.000275085584922777,0.000275069402097422,0.000275070983185173,0.000275069892372728,0.000275071037998346,0.000275071315123388,0.000275069322651698,0.000275069460774006,0.000275069742452541,0.000275071139747777,5.04182085479094,0.219955526166596,2.25184306393857,0.807223627498102,4.25256355503863,0.807082934501032,4.25430496271847,0.811245412067659,7.2558985239587,0.816134888510453,5.25828110435422,0.822625827734409,6.25986879716983,0.82663940129322,5.26275871233891,0.834746883110151,5.08525647287236,2.5142003501588,5.08416418867705,2.51203130879044
"8","Raymond",0.960292008019639,0.0752720917551764,0.00199615463113921,0.0019961134776705,0.00199610819033558,0.00199610806920701,0.00199612597221469,0.00199613136752239,0.00199611494124987,0.0019961215534059,0.00199611359078785,0.00199610788832285,0.000336393738137537,0.000336356810751375,0.000336358071451768,0.000336358123981936,0.000336360556556413,0.000336364539600239,0.000336356793300847,0.00033635828306974,0.000336356804560852,0.000336358204522751,5.03986827187319,0.213289543516721,7.42111276213566,1.18799649202018,9.42575842366349,1.1997407517614,6.4311812354248,1.21267836728712,12.4315496650719,1.21408793000397,14.4314163950418,1.211840814631,7.42995410513339,1.20833622334134,5.42832019131998,1.20432912599056,8.992170192027,3.35747057281447,8.99227227532038,3.35653681280477
"9","Westbrook",0.977880647117987,0.0438792498846128,0.00053715600927445,0.000537141621614172,0.00053713770045653,0.000537143003038888,0.000537159394736902,0.000537153959930287,0.00053714279716714,0.000537144306183263,0.000537139531129689,0.000537136119876146,7.26347854376202e-05,7.26312251087471e-05,7.26321834849354e-05,7.26311026209959e-05,7.26370199545734e-05,7.26336712148944e-05,7.2631114032855e-05,7.2631084911481e-05,7.2631620690591e-05,7.26328389559458e-05,15.1548192469874,0.499048569328922,6.22970424507075,0.700382990179483,10.229645077418,0.700382363806163,6.2304966193881,0.702087902112305,19.2319170597288,0.706065390180747,9.23438126746557,0.710758178237806,7.23723117607516,0.717523993662279,8.2389735662261,0.721296342139863,9.78148719145319,3.39449549234382,9.7816916393051,3.39558768764731
"10","Windham",0.958748479851223,0.068076855035714,0.00166188479843886,0.00166181366258716,0.00166180559599238,0.00166181666090379,0.00166186030983009,0.00166185646372845,0.0016618109625392,0.00166182805152517,0.00166180961670887,0.00166179324800593,0.000187874206114905,0.00018784732873654,0.000187848370001111,0.000187847175539066,0.000187858192609781,0.000187856285064928,0.000187847574244112,0.000187847710139803,0.000187847735090904,0.000187851806842929,29.1555833895566,2.18935204660684,13.3325087250223,2.72280336859371,26.3464573077788,2.7487973266433,26.3496380885746,2.75269966967209,35.3626398988258,2.77978802528012,35.3762566947367,2.80349331228409,28.4049781215034,2.85746123746453,38.4184460298025,2.88215958898678,30.112840845043,6.45433441522498,30.1109951939495,6.4535847028961
