"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",21,24,26,24,24,28,17,19,21,21
"50%",35,38,41,39,39,43,32,34,40,40
"97.5%",48,65,67,65,66,70,60,62,70,70
