"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",11,3,6,6,5,4,3,10,1,1
"50%",11,3,6,6,5,4,3,10,5,5
"97.5%",12,5,8,8,7,6,5,12,11,11
