"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",0,0,0,0,0,0,0,0,0,0
"50%",0,10,10,10,10,10,10,11,11,11
"97.5%",2,1513,1509,1508,1531,1548,1554,1577,1577,1577
