"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2.5%",4,5,11,4,16,10,8,10,7,7
"50%",9,18,25,18,30,24,22,24,24,24
"97.5%",17,88,94,88,101,95,94,97,97,97
