system:time_start,ppt
28-Oct-08,0
29-Oct-08,10.314
30-Oct-08,0
31-Oct-08,0
1-Nov-08,0
2-Nov-08,0
3-Nov-08,0
4-Nov-08,0
5-Nov-08,0
6-Nov-08,0
7-Nov-08,13.608
8-Nov-08,0.439
9-Nov-08,6.292
10-Nov-08,0
11-Nov-08,0
12-Nov-08,0
13-Nov-08,0
14-Nov-08,12.858
15-Nov-08,15.235
16-Nov-08,18.983
17-Nov-08,0.926
18-Nov-08,0
19-Nov-08,0
20-Nov-08,0
21-Nov-08,0
22-Nov-08,0
23-Nov-08,0
24-Nov-08,0
25-Nov-08,9.408
26-Nov-08,58.017
27-Nov-08,0
28-Nov-08,0
29-Nov-08,5.808
30-Nov-08,0
1-Dec-08,18.529
2-Dec-08,0.255
3-Dec-08,0
4-Dec-08,0
5-Dec-08,0
6-Dec-08,0
7-Dec-08,0.462
8-Dec-08,2.378
9-Dec-08,0
10-Dec-08,4.54
11-Dec-08,7.759
12-Dec-08,39.503
13-Dec-08,12.643
14-Dec-08,0
15-Dec-08,0
16-Dec-08,0.484
17-Dec-08,4.55
18-Dec-08,3.237
19-Dec-08,0
20-Dec-08,8.515
21-Dec-08,0
22-Dec-08,24.825
23-Dec-08,0
24-Dec-08,0.009
25-Dec-08,6.669
26-Dec-08,0
27-Dec-08,0.383
28-Dec-08,1.116
29-Dec-08,0
30-Dec-08,1.165
31-Dec-08,0
1-Jan-09,0.712
2-Jan-09,0
3-Jan-09,0
4-Jan-09,0
5-Jan-09,0.766
6-Jan-09,0
7-Jan-09,4.241
8-Jan-09,11.134
9-Jan-09,0
10-Jan-09,0
11-Jan-09,5.994
12-Jan-09,4.478
13-Jan-09,0.492
14-Jan-09,0
15-Jan-09,0
16-Jan-09,0
17-Jan-09,0
18-Jan-09,5.709
19-Jan-09,16.726
20-Jan-09,0
21-Jan-09,0
22-Jan-09,0
23-Jan-09,0
24-Jan-09,0
25-Jan-09,0
26-Jan-09,0
27-Jan-09,0
28-Jan-09,0
29-Jan-09,28.599
30-Jan-09,0
31-Jan-09,0
1-Feb-09,0
2-Feb-09,0
3-Feb-09,0
4-Feb-09,1.876
5-Feb-09,0
6-Feb-09,0
7-Feb-09,0
8-Feb-09,0
9-Feb-09,0
10-Feb-09,0
11-Feb-09,0.171
12-Feb-09,10.426
13-Feb-09,2.701
14-Feb-09,0
15-Feb-09,0
16-Feb-09,0
17-Feb-09,0
18-Feb-09,0.173
19-Feb-09,18.204
20-Feb-09,11.453
21-Feb-09,0
22-Feb-09,0
23-Feb-09,31.024
24-Feb-09,0
25-Feb-09,0
26-Feb-09,0
27-Feb-09,0.459
28-Feb-09,4.094
1-Mar-09,0
2-Mar-09,12.719
3-Mar-09,6.31
4-Mar-09,0
5-Mar-09,0
6-Mar-09,0
7-Mar-09,0.426
8-Mar-09,8.887
9-Mar-09,0.502
10-Mar-09,6.238
11-Mar-09,3.643
12-Mar-09,12.857
13-Mar-09,0
14-Mar-09,0
15-Mar-09,0
16-Mar-09,0
17-Mar-09,0
18-Mar-09,0
19-Mar-09,0.566
20-Mar-09,0
21-Mar-09,0
22-Mar-09,0
23-Mar-09,0
24-Mar-09,0
25-Mar-09,0
26-Mar-09,0
27-Mar-09,6.663
28-Mar-09,0.562
29-Mar-09,0.688
30-Mar-09,17.4
31-Mar-09,5.561
1-Apr-09,0
2-Apr-09,4.498
3-Apr-09,0
4-Apr-09,19.433
5-Apr-09,0
6-Apr-09,0
7-Apr-09,37.18
8-Apr-09,0.701
9-Apr-09,0
10-Apr-09,0
11-Apr-09,1.977
12-Apr-09,0
13-Apr-09,0
14-Apr-09,0
15-Apr-09,0
16-Apr-09,0
17-Apr-09,0
18-Apr-09,0
19-Apr-09,0
20-Apr-09,0
21-Apr-09,18.117
22-Apr-09,26.064
23-Apr-09,9.669
24-Apr-09,0
25-Apr-09,0
26-Apr-09,0
27-Apr-09,0
28-Apr-09,0
29-Apr-09,0
30-Apr-09,0
1-May-09,1.355
2-May-09,0.925
3-May-09,0
4-May-09,0
5-May-09,0
6-May-09,11.186
7-May-09,17.531
8-May-09,12.991
9-May-09,2.096
10-May-09,7.721
11-May-09,2.859
12-May-09,0
13-May-09,0
14-May-09,0
15-May-09,3.109
16-May-09,0
17-May-09,6.525
18-May-09,1.958
19-May-09,0
20-May-09,0
21-May-09,0
22-May-09,0
23-May-09,0
24-May-09,0.027
25-May-09,0.305
26-May-09,0
27-May-09,0.004
28-May-09,20.253
29-May-09,12.755
30-May-09,7.494
31-May-09,0
1-Jun-09,4.13
2-Jun-09,0
3-Jun-09,0
4-Jun-09,0
5-Jun-09,0
6-Jun-09,0
7-Jun-09,0
8-Jun-09,0
9-Jun-09,1.152
10-Jun-09,8.801
11-Jun-09,0
12-Jun-09,35.04
13-Jun-09,5.758
14-Jun-09,12.744
15-Jun-09,14.939
16-Jun-09,0.118
17-Jun-09,0
18-Jun-09,0
19-Jun-09,27.518
20-Jun-09,57.258
21-Jun-09,1.819
22-Jun-09,2.064
23-Jun-09,6.108
24-Jun-09,5.762
25-Jun-09,5.023
26-Jun-09,0
27-Jun-09,0.021
28-Jun-09,3.854
29-Jun-09,28.141
1-Jul-09,0
2-Jul-09,5.205
3-Jul-09,29.002
4-Jul-09,0.051
5-Jul-09,0.012
6-Jul-09,0
7-Jul-09,0
8-Jul-09,53.139
9-Jul-09,22.499
10-Jul-09,0
11-Jul-09,0
12-Jul-09,9.769
13-Jul-09,0
14-Jul-09,0
15-Jul-09,0
16-Jul-09,0
17-Jul-09,0
18-Jul-09,8.209
19-Jul-09,0.406
20-Jul-09,0
21-Jul-09,0
22-Jul-09,12.027
23-Jul-09,0
24-Jul-09,30.96
25-Jul-09,24.47
26-Jul-09,0
27-Jul-09,4.328
28-Jul-09,0
29-Jul-09,0
30-Jul-09,2.63
31-Jul-09,0.121
1-Aug-09,17.078
2-Aug-09,0
3-Aug-09,0.341
4-Aug-09,0
5-Aug-09,0
6-Aug-09,0.017
7-Aug-09,0
8-Aug-09,1.211
9-Aug-09,0
10-Aug-09,0
11-Aug-09,0.424
12-Aug-09,4.812
13-Aug-09,0
14-Aug-09,0
15-Aug-09,0
16-Aug-09,0
17-Aug-09,0
18-Aug-09,0
19-Aug-09,0
20-Aug-09,0
21-Aug-09,0
22-Aug-09,5.494
23-Aug-09,1.103
24-Aug-09,40.581
25-Aug-09,8.902
26-Aug-09,0
27-Aug-09,0
28-Aug-09,0
29-Aug-09,22.811
30-Aug-09,27.922
31-Aug-09,0.577
1-Sep-09,0
2-Sep-09,0
3-Sep-09,0
4-Sep-09,0
5-Sep-09,0
6-Sep-09,0
7-Sep-09,0
8-Sep-09,0
9-Sep-09,0
10-Sep-09,0
11-Sep-09,0
12-Sep-09,0
13-Sep-09,3.772
14-Sep-09,0.006
15-Sep-09,0.884
16-Sep-09,0
17-Sep-09,0
18-Sep-09,0
19-Sep-09,0
20-Sep-09,0
21-Sep-09,0
22-Sep-09,0
23-Sep-09,0
24-Sep-09,0.556
25-Sep-09,0
26-Sep-09,0
27-Sep-09,1.143
28-Sep-09,22.285
29-Sep-09,12.924
30-Sep-09,0
1-Oct-09,0.049
2-Oct-09,0
3-Oct-09,0.004
4-Oct-09,53.314
5-Oct-09,0.007
6-Oct-09,2.006
7-Oct-09,8.336
8-Oct-09,16.172
9-Oct-09,0
10-Oct-09,4.593
11-Oct-09,0
12-Oct-09,0
13-Oct-09,3.363
14-Oct-09,3.455
15-Oct-09,0
16-Oct-09,0
17-Oct-09,0
18-Oct-09,0
19-Oct-09,13.938
20-Oct-09,0
21-Oct-09,0
22-Oct-09,0.804
23-Oct-09,0
24-Oct-09,6.323
25-Oct-09,29.968
26-Oct-09,0
27-Oct-09,0
28-Oct-09,0
29-Oct-09,1.062
30-Oct-09,0
31-Oct-09,0.299
1-Nov-09,0.632
2-Nov-09,0
3-Nov-09,0
4-Nov-09,0
5-Nov-09,1.475
6-Nov-09,0.029
7-Nov-09,0
8-Nov-09,0
9-Nov-09,0
10-Nov-09,0
11-Nov-09,0
12-Nov-09,0
13-Nov-09,0
14-Nov-09,0
15-Nov-09,128.039
16-Nov-09,0
17-Nov-09,0
18-Nov-09,0
19-Nov-09,0
20-Nov-09,0.499
21-Nov-09,9.501
22-Nov-09,0
23-Nov-09,0
24-Nov-09,0
25-Nov-09,0
26-Nov-09,1.684
27-Nov-09,0.283
28-Nov-09,49.429
29-Nov-09,0
30-Nov-09,0
1-Dec-09,3.117
2-Dec-09,0
3-Dec-09,23.339
4-Dec-09,10.415
5-Dec-09,0
6-Dec-09,8.474
7-Dec-09,0
8-Dec-09,0
9-Dec-09,0
10-Dec-09,41.984
11-Dec-09,0
12-Dec-09,0
