system:time_start,tmax
28-Sep-08,18.568
29-Sep-08,19.827
1-Oct-08,15.851
2-Oct-08,16.047
3-Oct-08,15.088
4-Oct-08,15.207
5-Oct-08,14.983
6-Oct-08,13.96
7-Oct-08,16.757
8-Oct-08,17.63
9-Oct-08,20.577
10-Oct-08,20.378
11-Oct-08,19.15
12-Oct-08,17.857
13-Oct-08,14.801
14-Oct-08,14.322
15-Oct-08,15.084
16-Oct-08,14.53
17-Oct-08,13.955
18-Oct-08,12.291
19-Oct-08,10.155
20-Oct-08,12.496
21-Oct-08,13
22-Oct-08,8.996
23-Oct-08,8.556
24-Oct-08,12.604
25-Oct-08,14.5
26-Oct-08,16.468
27-Oct-08,16.453
28-Oct-08,13.486
29-Oct-08,9.008
30-Oct-08,6.939
31-Oct-08,9.937
1-Nov-08,10.055
2-Nov-08,7.61
3-Nov-08,8
4-Nov-08,12.778
5-Nov-08,17.089
6-Nov-08,15.882
7-Nov-08,15
8-Nov-08,13.933
9-Nov-08,13.252
10-Nov-08,11.86
11-Nov-08,8.175
12-Nov-08,7
13-Nov-08,7.646
14-Nov-08,10.701
15-Nov-08,14
16-Nov-08,15.284
17-Nov-08,9.218
18-Nov-08,5.465
19-Nov-08,1.45
20-Nov-08,-0.414
21-Nov-08,-0.611
22-Nov-08,-1.59
23-Nov-08,-1.447
24-Nov-08,2.208
25-Nov-08,8.029
26-Nov-08,9.5
27-Nov-08,6.385
28-Nov-08,5.622
29-Nov-08,5.441
30-Nov-08,3.406
1-Dec-08,5.305
2-Dec-08,7.246
3-Dec-08,6.143
4-Dec-08,6.93
5-Dec-08,4.801
6-Dec-08,1.437
7-Dec-08,1.019
8-Dec-08,-3.498
9-Dec-08,2.664
10-Dec-08,12.469
11-Dec-08,5.5
12-Dec-08,3.712
13-Dec-08,1.13
14-Dec-08,0.505
15-Dec-08,11.072
16-Dec-08,12.687
17-Dec-08,-1.022
18-Dec-08,-0.522
19-Dec-08,-2.485
20-Dec-08,-8.5
21-Dec-08,-7.613
22-Dec-08,-5.467
23-Dec-08,-5.169
24-Dec-08,4.512
25-Dec-08,9.427
26-Dec-08,1.5
27-Dec-08,3.872
28-Dec-08,9.861
29-Dec-08,8.022
30-Dec-08,4.141
1-Jan-09,-8.599
2-Jan-09,-3.846
3-Jan-09,-1.529
4-Jan-09,-0.664
5-Jan-09,1.512
6-Jan-09,0.821
7-Jan-09,-1.94
8-Jan-09,1.826
9-Jan-09,-1.245
10-Jan-09,-3.537
11-Jan-09,-5.482
12-Jan-09,-5.52
13-Jan-09,0.145
14-Jan-09,2.093
15-Jan-09,-9.438
16-Jan-09,-10.572
17-Jan-09,-8.297
18-Jan-09,-3.773
19-Jan-09,-0.677
20-Jan-09,-1.951
21-Jan-09,-4.07
22-Jan-09,-1.822
23-Jan-09,-1.996
24-Jan-09,-0.891
25-Jan-09,-4.5
26-Jan-09,-7.394
27-Jan-09,-4.755
28-Jan-09,-1.916
29-Jan-09,0.796
30-Jan-09,0.413
31-Jan-09,-0.835
1-Feb-09,-2.11
2-Feb-09,3.387
3-Feb-09,4.009
4-Feb-09,-3.494
5-Feb-09,-6.969
6-Feb-09,-6.225
7-Feb-09,0.471
8-Feb-09,8.06
9-Feb-09,2.197
10-Feb-09,-0.48
11-Feb-09,5.854
12-Feb-09,6.469
13-Feb-09,4.005
14-Feb-09,0.578
15-Feb-09,2.61
16-Feb-09,1.654
17-Feb-09,1.069
18-Feb-09,1.5
19-Feb-09,2.575
20-Feb-09,-0.611
21-Feb-09,-0.002
22-Feb-09,3.134
23-Feb-09,1.422
24-Feb-09,-1.114
25-Feb-09,-0.66
26-Feb-09,2.66
27-Feb-09,6.836
28-Feb-09,7.396
1-Mar-09,-2.375
2-Mar-09,-5.5
3-Mar-09,-3.954
4-Mar-09,-2.608
5-Mar-09,0.429
6-Mar-09,4.4
7-Mar-09,10.509
8-Mar-09,11.119
9-Mar-09,5.289
10-Mar-09,4.047
11-Mar-09,6.204
12-Mar-09,4.505
13-Mar-09,-0.513
14-Mar-09,4.201
15-Mar-09,8.567
16-Mar-09,5.5
17-Mar-09,4.202
18-Mar-09,7.276
19-Mar-09,8.333
20-Mar-09,4.68
21-Mar-09,4.5
22-Mar-09,6.329
23-Mar-09,2
24-Mar-09,4.034
25-Mar-09,8.963
26-Mar-09,8.65
27-Mar-09,7.925
28-Mar-09,5.696
29-Mar-09,5.33
30-Mar-09,5.378
31-Mar-09,8.362
1-Apr-09,6.318
2-Apr-09,8.207
3-Apr-09,9.331
4-Apr-09,10.661
5-Apr-09,13.484
6-Apr-09,10.747
7-Apr-09,9.388
8-Apr-09,7.273
9-Apr-09,10.798
10-Apr-09,14.49
11-Apr-09,10.533
12-Apr-09,6.564
13-Apr-09,10.44
14-Apr-09,13.404
15-Apr-09,13.272
16-Apr-09,12.489
17-Apr-09,16.904
18-Apr-09,15.567
19-Apr-09,13.147
20-Apr-09,11.456
21-Apr-09,10.623
22-Apr-09,12.36
23-Apr-09,13.498
24-Apr-09,17.812
25-Apr-09,19.156
26-Apr-09,23.763
27-Apr-09,18.763
28-Apr-09,24.197
29-Apr-09,22.122
30-Apr-09,17.065
1-May-09,18.605
2-May-09,18.325
3-May-09,17.016
4-May-09,18.436
5-May-09,14.545
6-May-09,13.285
7-May-09,13.008
8-May-09,18.007
9-May-09,19.824
10-May-09,16.653
11-May-09,14.952
12-May-09,16.58
13-May-09,18.471
14-May-09,16.067
15-May-09,19.208
16-May-09,17.627
17-May-09,16.068
18-May-09,13.278
19-May-09,15.446
20-May-09,19.181
21-May-09,26.702
22-May-09,29.695
23-May-09,21.819
24-May-09,18.9
25-May-09,21.754
26-May-09,17.143
27-May-09,12.036
28-May-09,9.86
29-May-09,11.793
30-May-09,18.811
31-May-09,20.895
1-Jun-09,20.455
2-Jun-09,22.019
3-Jun-09,22.006
4-Jun-09,21.41
5-Jun-09,19.145
6-Jun-09,18.283
7-Jun-09,22.372
8-Jun-09,22.952
9-Jun-09,17.946
10-Jun-09,13.457
11-Jun-09,15.04
12-Jun-09,21.005
13-Jun-09,22.667
14-Jun-09,18.785
15-Jun-09,14.256
16-Jun-09,18.899
17-Jun-09,22.507
18-Jun-09,20.531
19-Jun-09,16.948
20-Jun-09,19.311
21-Jun-09,20.423
22-Jun-09,18.646
23-Jun-09,18.72
24-Jun-09,19.365
25-Jun-09,22.208
26-Jun-09,23.523
27-Jun-09,23.297
28-Jun-09,20.442
29-Jun-09,17.655
1-Jul-09,16.804
2-Jul-09,15.68
3-Jul-09,19.155
4-Jul-09,22.128
5-Jul-09,23.56
6-Jul-09,23.98
7-Jul-09,18.161
8-Jul-09,13.91
9-Jul-09,19.206
10-Jul-09,24.053
11-Jul-09,22.975
12-Jul-09,23.49
13-Jul-09,22.903
14-Jul-09,21.739
15-Jul-09,23.483
16-Jul-09,22.067
