system:time_start,ppt
26-Oct-08,36.291
27-Oct-08,2.652
28-Oct-08,0
29-Oct-08,8.012
30-Oct-08,0
31-Oct-08,0
1-Nov-08,0
2-Nov-08,0
3-Nov-08,0
4-Nov-08,0
5-Nov-08,0
6-Nov-08,0
7-Nov-08,17.914
8-Nov-08,0.819
9-Nov-08,8.008
10-Nov-08,0
11-Nov-08,0
12-Nov-08,0
13-Nov-08,0
14-Nov-08,5.979
15-Nov-08,13.235
16-Nov-08,24.443
17-Nov-08,0.375
18-Nov-08,0
19-Nov-08,0
20-Nov-08,0
21-Nov-08,0
22-Nov-08,0
23-Nov-08,0
24-Nov-08,0
25-Nov-08,6.802
26-Nov-08,58.589
27-Nov-08,0
28-Nov-08,0
29-Nov-08,5.941
30-Nov-08,0
1-Dec-08,13.579
2-Dec-08,0.017
3-Dec-08,0
4-Dec-08,0
5-Dec-08,0
6-Dec-08,0
7-Dec-08,0.74
8-Dec-08,1.303
9-Dec-08,0
10-Dec-08,4.169
11-Dec-08,7.107
12-Dec-08,29.125
13-Dec-08,8.782
14-Dec-08,0
15-Dec-08,0
16-Dec-08,0.562
17-Dec-08,5.92
18-Dec-08,3.081
19-Dec-08,0
20-Dec-08,6.994
21-Dec-08,0
22-Dec-08,30.346
23-Dec-08,0
24-Dec-08,0.435
25-Dec-08,6.537
26-Dec-08,0
27-Dec-08,0.489
28-Dec-08,1.28
29-Dec-08,0
30-Dec-08,0.55
31-Dec-08,0.157
1-Jan-09,0.061
2-Jan-09,0
3-Jan-09,0
4-Jan-09,0
5-Jan-09,0.598
6-Jan-09,0
7-Jan-09,2.728
8-Jan-09,10.226
9-Jan-09,0
10-Jan-09,0
11-Jan-09,4.36
12-Jan-09,5.089
13-Jan-09,0.071
14-Jan-09,0
15-Jan-09,0
16-Jan-09,0
17-Jan-09,0
18-Jan-09,3.864
19-Jan-09,15.637
20-Jan-09,0
21-Jan-09,0
22-Jan-09,0
23-Jan-09,0
24-Jan-09,0.538
25-Jan-09,0
26-Jan-09,0
27-Jan-09,0
28-Jan-09,0
29-Jan-09,28.476
30-Jan-09,0
31-Jan-09,0
1-Feb-09,0
2-Feb-09,0
3-Feb-09,0
4-Feb-09,1.755
5-Feb-09,0
6-Feb-09,0
7-Feb-09,0
8-Feb-09,0
9-Feb-09,0
10-Feb-09,0
11-Feb-09,0.033
12-Feb-09,9.232
13-Feb-09,5.105
14-Feb-09,0
15-Feb-09,0
16-Feb-09,0
17-Feb-09,0
18-Feb-09,0.034
19-Feb-09,18.728
20-Feb-09,15.875
21-Feb-09,0.418
22-Feb-09,0
23-Feb-09,31.941
24-Feb-09,0.201
25-Feb-09,0
26-Feb-09,0
27-Feb-09,0.351
28-Feb-09,3.985
1-Mar-09,0
2-Mar-09,12.002
3-Mar-09,6.59
4-Mar-09,0
5-Mar-09,0
6-Mar-09,0
7-Mar-09,1.487
8-Mar-09,5.243
9-Mar-09,0
10-Mar-09,2.507
11-Mar-09,3.111
12-Mar-09,12.729
13-Mar-09,0
14-Mar-09,0
15-Mar-09,0
16-Mar-09,0
17-Mar-09,0
18-Mar-09,0
19-Mar-09,1.95
20-Mar-09,0.042
21-Mar-09,0
22-Mar-09,0
23-Mar-09,0
24-Mar-09,0
25-Mar-09,0
26-Mar-09,0
27-Mar-09,5.532
28-Mar-09,0.207
29-Mar-09,0.409
30-Mar-09,20.241
31-Mar-09,7.017
1-Apr-09,0
2-Apr-09,3.087
3-Apr-09,0.011
4-Apr-09,15.795
5-Apr-09,0.001
6-Apr-09,0
7-Apr-09,31.542
8-Apr-09,0.032
9-Apr-09,0
10-Apr-09,0
11-Apr-09,1.111
12-Apr-09,0
13-Apr-09,0
14-Apr-09,0
15-Apr-09,0
16-Apr-09,0
17-Apr-09,0
18-Apr-09,0
19-Apr-09,0
20-Apr-09,0
21-Apr-09,10.381
22-Apr-09,29.738
23-Apr-09,10.001
24-Apr-09,0
25-Apr-09,0
26-Apr-09,0
27-Apr-09,0.409
28-Apr-09,0
29-Apr-09,0
30-Apr-09,0
1-May-09,2.147
2-May-09,1.424
3-May-09,0
4-May-09,0
5-May-09,0
6-May-09,7.142
7-May-09,10.928
8-May-09,12.602
9-May-09,0.771
10-May-09,6.111
11-May-09,0.935
12-May-09,0
13-May-09,0
14-May-09,0.012
15-May-09,4.19
16-May-09,0
17-May-09,7.524
18-May-09,3.29
19-May-09,0
20-May-09,0
21-May-09,0
22-May-09,0
23-May-09,0
24-May-09,0.855
25-May-09,0.692
26-May-09,0
27-May-09,0
28-May-09,17.328
29-May-09,6.872
30-May-09,8.07
31-May-09,0.687
1-Jun-09,3.06
2-Jun-09,0
3-Jun-09,0
4-Jun-09,0
5-Jun-09,0
6-Jun-09,0
7-Jun-09,0
8-Jun-09,1.093
9-Jun-09,1.174
10-Jun-09,3.554
11-Jun-09,0.089
12-Jun-09,33.244
13-Jun-09,8.52
14-Jun-09,8.815
15-Jun-09,9.76
16-Jun-09,1.031
17-Jun-09,0
18-Jun-09,0
19-Jun-09,23.651
20-Jun-09,63.194
21-Jun-09,2.017
22-Jun-09,1.375
23-Jun-09,3.488
24-Jun-09,3.746
25-Jun-09,1.617
26-Jun-09,0
27-Jun-09,0.065
28-Jun-09,4.871
29-Jun-09,20.628
1-Jul-09,0.402
2-Jul-09,2.319
3-Jul-09,33.815
4-Jul-09,1.565
5-Jul-09,6.352
6-Jul-09,0
7-Jul-09,0
8-Jul-09,19.037
9-Jul-09,19.498
10-Jul-09,0
11-Jul-09,0
12-Jul-09,5.831
13-Jul-09,0
14-Jul-09,0.327
15-Jul-09,0.787
16-Jul-09,0
17-Jul-09,0
18-Jul-09,14.965
19-Jul-09,0.132
20-Jul-09,0
21-Jul-09,0
22-Jul-09,19.185
23-Jul-09,0
24-Jul-09,18.015
25-Jul-09,34.814
26-Jul-09,0.005
27-Jul-09,1.611
28-Jul-09,0.619
29-Jul-09,0
30-Jul-09,4.429
31-Jul-09,1.103
1-Aug-09,14.918
2-Aug-09,0
3-Aug-09,0
4-Aug-09,0
5-Aug-09,0
6-Aug-09,0
7-Aug-09,0
8-Aug-09,0.864
9-Aug-09,0
10-Aug-09,0
11-Aug-09,0.407
12-Aug-09,9.15
13-Aug-09,0
14-Aug-09,0
15-Aug-09,0
16-Aug-09,0
17-Aug-09,0
18-Aug-09,0
19-Aug-09,0
20-Aug-09,0
21-Aug-09,0
22-Aug-09,2.172
23-Aug-09,0.069
24-Aug-09,43.497
