system:time_start,vpd
28-Sep-08,0.332
29-Sep-08,0.483
30-Sep-08,0.291
1-Oct-08,0.302
2-Oct-08,0.414
3-Oct-08,0.473
4-Oct-08,0.468
5-Oct-08,0.492
6-Oct-08,0.515
7-Oct-08,0.595
8-Oct-08,0.521
9-Oct-08,0.431
10-Oct-08,0.6
11-Oct-08,0.541
12-Oct-08,0.538
13-Oct-08,0.413
14-Oct-08,0.332
15-Oct-08,0.423
16-Oct-08,0.24
17-Oct-08,0.417
18-Oct-08,0.421
19-Oct-08,0.384
20-Oct-08,0.379
21-Oct-08,0.408
22-Oct-08,0.266
23-Oct-08,0.36
24-Oct-08,0.447
25-Oct-08,0.233
26-Oct-08,0.295
27-Oct-08,0.366
28-Oct-08,0.289
29-Oct-08,0.396
30-Oct-08,0.339
31-Oct-08,0.309
1-Nov-08,0.377
2-Nov-08,0.346
3-Nov-08,0.265
4-Nov-08,0.319
5-Nov-08,0.412
6-Nov-08,0.276
7-Nov-08,0.323
8-Nov-08,0.275
9-Nov-08,0.373
10-Nov-08,0.416
11-Nov-08,0.325
12-Nov-08,0.315
13-Nov-08,0.269
14-Nov-08,0.246
15-Nov-08,0.203
16-Nov-08,0.334
17-Nov-08,0.366
18-Nov-08,0.297
19-Nov-08,0.228
20-Nov-08,0.271
21-Nov-08,0.239
22-Nov-08,0.251
23-Nov-08,0.234
24-Nov-08,0.239
25-Nov-08,0.148
26-Nov-08,0.365
27-Nov-08,0.318
28-Nov-08,0.267
29-Nov-08,0.295
30-Nov-08,0.211
1-Dec-08,0.209
2-Dec-08,0.29
3-Dec-08,0.276
4-Dec-08,0.234
5-Dec-08,0.33
6-Dec-08,0.262
7-Dec-08,0.189
8-Dec-08,0.193
9-Dec-08,0.145
10-Dec-08,0.194
11-Dec-08,0.219
12-Dec-08,0.158
13-Dec-08,0.202
14-Dec-08,0.174
15-Dec-08,0.189
16-Dec-08,0.424
17-Dec-08,0.118
18-Dec-08,0.185
19-Dec-08,0.15
20-Dec-08,0.072
21-Dec-08,0.129
22-Dec-08,0.109
23-Dec-08,0.117
24-Dec-08,0.132
25-Dec-08,0.257
26-Dec-08,0.173
27-Dec-08,0.115
28-Dec-08,0.338
29-Dec-08,0.244
30-Dec-08,0.188
31-Dec-08,0.133
1-Jan-09,0.088
2-Jan-09,0.154
3-Jan-09,0.162
4-Jan-09,0.161
5-Jan-09,0.211
6-Jan-09,0.206
7-Jan-09,0.173
8-Jan-09,0.202
9-Jan-09,0.14
10-Jan-09,0.124
11-Jan-09,0.114
12-Jan-09,0.129
13-Jan-09,0.153
14-Jan-09,0.244
15-Jan-09,0.082
16-Jan-09,0.086
17-Jan-09,0.119
18-Jan-09,0.118
19-Jan-09,0.18
20-Jan-09,0.141
21-Jan-09,0.142
22-Jan-09,0.169
23-Jan-09,0.178
24-Jan-09,0.203
25-Jan-09,0.121
26-Jan-09,0.132
27-Jan-09,0.163
28-Jan-09,0.145
29-Jan-09,0.228
30-Jan-09,0.235
31-Jan-09,0.237
1-Feb-09,0.235
2-Feb-09,0.264
3-Feb-09,0.214
4-Feb-09,0.164
5-Feb-09,0.138
6-Feb-09,0.156
7-Feb-09,0.169
8-Feb-09,0.213
9-Feb-09,0.196
10-Feb-09,0.183
11-Feb-09,0.169
12-Feb-09,0.199
13-Feb-09,0.293
14-Feb-09,0.214
15-Feb-09,0.192
16-Feb-09,0.206
17-Feb-09,0.242
18-Feb-09,0.227
19-Feb-09,0.172
20-Feb-09,0.224
21-Feb-09,0.231
22-Feb-09,0.174
23-Feb-09,0.227
24-Feb-09,0.2
25-Feb-09,0.203
26-Feb-09,0.156
27-Feb-09,0.17
28-Feb-09,0.246
1-Mar-09,0.145
2-Mar-09,0.134
3-Mar-09,0.148
4-Mar-09,0.173
5-Mar-09,0.21
6-Mar-09,0.138
7-Mar-09,0.297
8-Mar-09,0.297
9-Mar-09,0.264
10-Mar-09,0.26
11-Mar-09,0.212
12-Mar-09,0.338
13-Mar-09,0.233
14-Mar-09,0.33
15-Mar-09,0.407
16-Mar-09,0.311
17-Mar-09,0.321
18-Mar-09,0.275
19-Mar-09,0.365
20-Mar-09,0.399
21-Mar-09,0.401
22-Mar-09,0.35
23-Mar-09,0.322
24-Mar-09,0.316
25-Mar-09,0.459
26-Mar-09,0.382
27-Mar-09,0.33
28-Mar-09,0.322
29-Mar-09,0.178
30-Mar-09,0.236
31-Mar-09,0.449
1-Apr-09,0.35
2-Apr-09,0.425
3-Apr-09,0.348
4-Apr-09,0.378
5-Apr-09,0.441
6-Apr-09,0.342
7-Apr-09,0.46
8-Apr-09,0.423
9-Apr-09,0.517
10-Apr-09,0.624
11-Apr-09,0.437
12-Apr-09,0.489
13-Apr-09,0.549
14-Apr-09,0.581
15-Apr-09,0.64
16-Apr-09,0.609
17-Apr-09,0.675
18-Apr-09,0.66
19-Apr-09,0.618
20-Apr-09,0.495
21-Apr-09,0.326
22-Apr-09,0.507
23-Apr-09,0.578
24-Apr-09,0.702
25-Apr-09,0.601
26-Apr-09,1
27-Apr-09,0.53
28-Apr-09,0.886
29-Apr-09,0.717
30-Apr-09,0.7
1-May-09,0.447
2-May-09,0.619
3-May-09,0.625
4-May-09,0.595
5-May-09,0.355
6-May-09,0.395
7-May-09,0.367
8-May-09,0.546
9-May-09,0.408
10-May-09,0.433
11-May-09,0.524
12-May-09,0.622
13-May-09,0.617
14-May-09,0.368
15-May-09,0.556
16-May-09,0.43
17-May-09,0.521
18-May-09,0.563
19-May-09,0.613
20-May-09,0.763
21-May-09,0.893
22-May-09,0.886
23-May-09,0.638
24-May-09,0.639
25-May-09,0.771
26-May-09,0.587
27-May-09,0.364
28-May-09,0.33
29-May-09,0.348
30-May-09,0.569
31-May-09,0.573
1-Jun-09,0.524
2-Jun-09,0.699
3-Jun-09,0.741
4-Jun-09,0.654
5-Jun-09,0.43
6-Jun-09,0.394
7-Jun-09,0.678
8-Jun-09,0.764
9-Jun-09,0.431
10-Jun-09,0.383
11-Jun-09,0.311
12-Jun-09,0.406
13-Jun-09,0.64
14-Jun-09,0.36
15-Jun-09,0.391
16-Jun-09,0.597
17-Jun-09,0.623
18-Jun-09,0.432
19-Jun-09,0.336
20-Jun-09,0.356
21-Jun-09,0.388
22-Jun-09,0.408
23-Jun-09,0.379
24-Jun-09,0.413
25-Jun-09,0.434
26-Jun-09,0.368
27-Jun-09,0.461
28-Jun-09,0.352
29-Jun-09,0.33
30-Jun-09,0.36
1-Jul-09,0.384
2-Jul-09,0.358
3-Jul-09,0.389
4-Jul-09,0.526
5-Jul-09,0.506
6-Jul-09,0.678
7-Jul-09,0.335
8-Jul-09,0.328
9-Jul-09,0.589
10-Jul-09,0.619
11-Jul-09,0.448
12-Jul-09,0.533
13-Jul-09,0.591
14-Jul-09,0.645
15-Jul-09,0.668
16-Jul-09,0.469
17-Jul-09,0.488
18-Jul-09,0.41
19-Jul-09,0.771
20-Jul-09,0.827
21-Jul-09,0.437
22-Jul-09,0.477
23-Jul-09,0.484
24-Jul-09,0.357
25-Jul-09,0.453
26-Jul-09,0.45
27-Jul-09,0.547
28-Jul-09,0.643
29-Jul-09,0.551
30-Jul-09,0.553
31-Jul-09,0.586
1-Aug-09,0.696
2-Aug-09,0.489
3-Aug-09,0.708
4-Aug-09,0.541
5-Aug-09,0.713
6-Aug-09,0.739
7-Aug-09,0.727
8-Aug-09,0.808
9-Aug-09,0.588
10-Aug-09,0.45
11-Aug-09,0.58
12-Aug-09,0.51
13-Aug-09,0.608
14-Aug-09,0.624
15-Aug-09,0.75
16-Aug-09,0.889
17-Aug-09,0.82
18-Aug-09,0.973
19-Aug-09,0.988
20-Aug-09,0.941
21-Aug-09,0.526
22-Aug-09,0.678
23-Aug-09,0.825
24-Aug-09,0.726
25-Aug-09,0.768
26-Aug-09,0.879
27-Aug-09,0.94
28-Aug-09,0.812
29-Aug-09,0.352
30-Aug-09,0.496
31-Aug-09,0.51
1-Sep-09,0.628
2-Sep-09,0.639
3-Sep-09,0.581
4-Sep-09,0.716
5-Sep-09,0.832
6-Sep-09,0.693
7-Sep-09,0.482
8-Sep-09,0.535
9-Sep-09,0.623
10-Sep-09,0.536
11-Sep-09,0.442
12-Sep-09,0.318
13-Sep-09,0.518
14-Sep-09,0.59
15-Sep-09,0.742
16-Sep-09,0.471
17-Sep-09,0.469
18-Sep-09,0.632
19-Sep-09,0.635
20-Sep-09,0.621
21-Sep-09,0.699
22-Sep-09,0.438
23-Sep-09,0.514
24-Sep-09,0.69
25-Sep-09,0.545
26-Sep-09,0.455
27-Sep-09,0.182
28-Sep-09,0.48
29-Sep-09,0.49
30-Sep-09,0.333
1-Oct-09,0.386
2-Oct-09,0.426
3-Oct-09,0.214
4-Oct-09,0.407
5-Oct-09,0.519
6-Oct-09,0.538
7-Oct-09,0.351
8-Oct-09,0.497
9-Oct-09,0.261
10-Oct-09,0.297
11-Oct-09,0.517
12-Oct-09,0.485
13-Oct-09,0.206
14-Oct-09,0.366
15-Oct-09,0.337
16-Oct-09,0.283
17-Oct-09,0.298
18-Oct-09,0.22
19-Oct-09,0.409
20-Oct-09,0.368
21-Oct-09,0.425
22-Oct-09,0.262
23-Oct-09,0.371
24-Oct-09,0.145
25-Oct-09,0.373
26-Oct-09,0.443
27-Oct-09,0.271
28-Oct-09,0.279
29-Oct-09,0.375
30-Oct-09,0.337
31-Oct-09,0.279
1-Nov-09,0.493
2-Nov-09,0.361
3-Nov-09,0.313
4-Nov-09,0.406
5-Nov-09,0.254
6-Nov-09,0.283
7-Nov-09,0.275
8-Nov-09,0.481
9-Nov-09,0.435
10-Nov-09,0.559
11-Nov-09,0.394
