system:time_start,ppt
25-Oct-08,0
26-Oct-08,38.649
27-Oct-08,0.05
28-Oct-08,0
29-Oct-08,8.639
30-Oct-08,0
31-Oct-08,0
1-Nov-08,0
2-Nov-08,0
3-Nov-08,0
4-Nov-08,0
5-Nov-08,0
6-Nov-08,0
7-Nov-08,10.388
8-Nov-08,0.734
9-Nov-08,7.676
10-Nov-08,0
11-Nov-08,0.026
12-Nov-08,0
13-Nov-08,0
14-Nov-08,11.426
15-Nov-08,11.599
16-Nov-08,19.446
17-Nov-08,1.41
18-Nov-08,0
19-Nov-08,0
20-Nov-08,0
21-Nov-08,0
22-Nov-08,0
23-Nov-08,0
24-Nov-08,0
25-Nov-08,11.735
26-Nov-08,75.553
27-Nov-08,0
28-Nov-08,0
29-Nov-08,6.276
30-Nov-08,0
1-Dec-08,16.264
2-Dec-08,0.933
3-Dec-08,0
4-Dec-08,0
5-Dec-08,0
6-Dec-08,0
7-Dec-08,0
8-Dec-08,0.353
9-Dec-08,0
10-Dec-08,5.276
11-Dec-08,4.291
12-Dec-08,42.73
13-Dec-08,13.994
14-Dec-08,0
15-Dec-08,0
16-Dec-08,0.662
17-Dec-08,4.762
18-Dec-08,3.689
19-Dec-08,0
20-Dec-08,9.136
21-Dec-08,0.008
22-Dec-08,14.227
23-Dec-08,0
24-Dec-08,0
25-Dec-08,6.783
26-Dec-08,0
27-Dec-08,0
28-Dec-08,1.334
29-Dec-08,0
30-Dec-08,0.51
1-Jan-09,0.413
2-Jan-09,0
3-Jan-09,0
4-Jan-09,0
5-Jan-09,0.473
6-Jan-09,0
7-Jan-09,3.248
8-Jan-09,11.781
9-Jan-09,0.165
10-Jan-09,0
11-Jan-09,6.056
12-Jan-09,5.379
13-Jan-09,0.053
14-Jan-09,0
15-Jan-09,0
16-Jan-09,0
17-Jan-09,0
18-Jan-09,3.655
19-Jan-09,20.499
20-Jan-09,0
21-Jan-09,0
22-Jan-09,0
23-Jan-09,0
24-Jan-09,0
25-Jan-09,0
26-Jan-09,0
27-Jan-09,0
28-Jan-09,0
29-Jan-09,30.414
30-Jan-09,0
31-Jan-09,0
1-Feb-09,0
2-Feb-09,0
3-Feb-09,0
4-Feb-09,0.274
5-Feb-09,0
6-Feb-09,0
7-Feb-09,0
8-Feb-09,0
9-Feb-09,0
10-Feb-09,0
11-Feb-09,0.033
12-Feb-09,9.675
13-Feb-09,2.987
14-Feb-09,0
15-Feb-09,0
16-Feb-09,0
17-Feb-09,0
18-Feb-09,0.035
19-Feb-09,13.864
20-Feb-09,9.872
21-Feb-09,0
22-Feb-09,0
23-Feb-09,38.385
24-Feb-09,0
25-Feb-09,0
26-Feb-09,0
27-Feb-09,0.044
28-Feb-09,5.608
1-Mar-09,0
2-Mar-09,13.561
3-Mar-09,9.204
4-Mar-09,0
5-Mar-09,0
6-Mar-09,0.17
7-Mar-09,0.381
8-Mar-09,10.892
9-Mar-09,0.728
10-Mar-09,6.787
11-Mar-09,4.505
12-Mar-09,13.958
13-Mar-09,0
14-Mar-09,0
15-Mar-09,0
16-Mar-09,0
17-Mar-09,0
18-Mar-09,0
19-Mar-09,0.765
20-Mar-09,0
21-Mar-09,0
22-Mar-09,0
23-Mar-09,0
24-Mar-09,0
25-Mar-09,0
26-Mar-09,0
27-Mar-09,7.073
28-Mar-09,0
29-Mar-09,0.917
30-Mar-09,16.2
31-Mar-09,4.269
1-Apr-09,0.005
2-Apr-09,5.057
3-Apr-09,0
4-Apr-09,21.281
5-Apr-09,0
6-Apr-09,0
7-Apr-09,36.275
8-Apr-09,0.415
9-Apr-09,0
10-Apr-09,0
11-Apr-09,0.661
12-Apr-09,0
13-Apr-09,0
14-Apr-09,0
15-Apr-09,0
16-Apr-09,0
17-Apr-09,0
18-Apr-09,0
19-Apr-09,0
20-Apr-09,0
21-Apr-09,14.338
22-Apr-09,27.47
23-Apr-09,13.666
24-Apr-09,0
25-Apr-09,0
26-Apr-09,0
27-Apr-09,0.392
28-Apr-09,0
29-Apr-09,0
30-Apr-09,0
1-May-09,1.691
2-May-09,1.437
3-May-09,0
4-May-09,0
5-May-09,0
6-May-09,7.722
7-May-09,16.438
8-May-09,11.737
9-May-09,1.055
10-May-09,7.284
11-May-09,0.781
12-May-09,0
13-May-09,0
14-May-09,0.033
15-May-09,3.884
16-May-09,0
17-May-09,6.037
18-May-09,1.494
19-May-09,0
20-May-09,0
21-May-09,0
22-May-09,0
23-May-09,0
24-May-09,0.062
25-May-09,0.96
26-May-09,0
27-May-09,0
28-May-09,27.455
29-May-09,14.884
30-May-09,7.356
31-May-09,0.393
1-Jun-09,2.71
2-Jun-09,0
3-Jun-09,0
4-Jun-09,0
5-Jun-09,0
6-Jun-09,0
7-Jun-09,0
8-Jun-09,0.008
9-Jun-09,1.225
10-Jun-09,8.79
11-Jun-09,0
12-Jun-09,34.448
13-Jun-09,3.298
14-Jun-09,13.112
15-Jun-09,17.568
16-Jun-09,0.267
17-Jun-09,0
18-Jun-09,0
19-Jun-09,35.641
20-Jun-09,30.459
21-Jun-09,2.612
22-Jun-09,3.497
23-Jun-09,2.812
24-Jun-09,4.954
25-Jun-09,2.759
26-Jun-09,0
27-Jun-09,2.454
28-Jun-09,1.585
29-Jun-09,22.448
30-Jun-09,7.813
1-Jul-09,0.557
2-Jul-09,0.873
3-Jul-09,32.489
4-Jul-09,9.376
5-Jul-09,0.795
6-Jul-09,0
7-Jul-09,0.492
8-Jul-09,29.84
9-Jul-09,7.227
10-Jul-09,0
11-Jul-09,0
12-Jul-09,4.03
13-Jul-09,0
14-Jul-09,0.028
15-Jul-09,0
16-Jul-09,0
17-Jul-09,0.398
18-Jul-09,8.081
19-Jul-09,0.589
20-Jul-09,0
21-Jul-09,0
22-Jul-09,16.048
23-Jul-09,0
24-Jul-09,28.532
25-Jul-09,30.697
26-Jul-09,0.349
27-Jul-09,10.89
28-Jul-09,0.253
29-Jul-09,0
30-Jul-09,14.416
31-Jul-09,2.371
1-Aug-09,18.726
2-Aug-09,0
3-Aug-09,0.212
4-Aug-09,0
5-Aug-09,0
6-Aug-09,0.287
7-Aug-09,0
8-Aug-09,0.16
9-Aug-09,0
10-Aug-09,0
11-Aug-09,0.729
12-Aug-09,18.341
13-Aug-09,0
14-Aug-09,0
15-Aug-09,0
16-Aug-09,0
17-Aug-09,0
18-Aug-09,0
19-Aug-09,0
20-Aug-09,0
21-Aug-09,0
22-Aug-09,23.032
23-Aug-09,1.941
24-Aug-09,28.735
25-Aug-09,3.369
26-Aug-09,0
27-Aug-09,0
28-Aug-09,0
29-Aug-09,24.531
30-Aug-09,22.477
31-Aug-09,0.277
1-Sep-09,0
2-Sep-09,0
3-Sep-09,0
4-Sep-09,0
5-Sep-09,0
6-Sep-09,0
7-Sep-09,0
8-Sep-09,0
9-Sep-09,0
10-Sep-09,0
11-Sep-09,0
12-Sep-09,0.02
13-Sep-09,4.131
14-Sep-09,0.013
15-Sep-09,0.639
16-Sep-09,0
17-Sep-09,0
18-Sep-09,0
19-Sep-09,0
20-Sep-09,0
21-Sep-09,0
22-Sep-09,0
23-Sep-09,0.017
24-Sep-09,0.203
25-Sep-09,0
26-Sep-09,0
27-Sep-09,1.491
28-Sep-09,20.016
29-Sep-09,8.69
30-Sep-09,0.016
1-Oct-09,0.49
2-Oct-09,0
3-Oct-09,1.405
4-Oct-09,42.721
5-Oct-09,0
6-Oct-09,1.996
7-Oct-09,9.544
8-Oct-09,14.586
9-Oct-09,0
10-Oct-09,3.295
11-Oct-09,0
12-Oct-09,0
13-Oct-09,3.504
14-Oct-09,3.139
15-Oct-09,0
16-Oct-09,0
17-Oct-09,0
18-Oct-09,0
19-Oct-09,9.572
20-Oct-09,0
21-Oct-09,0
22-Oct-09,1.382
23-Oct-09,0
24-Oct-09,7.158
25-Oct-09,39.922
26-Oct-09,0
27-Oct-09,0
28-Oct-09,0
29-Oct-09,1.411
30-Oct-09,0
31-Oct-09,0.646
1-Nov-09,3.781
2-Nov-09,0
3-Nov-09,0
4-Nov-09,0
5-Nov-09,0.204
6-Nov-09,1.43
7-Nov-09,0
8-Nov-09,0
9-Nov-09,0
10-Nov-09,0
11-Nov-09,0
12-Nov-09,0
13-Nov-09,0
14-Nov-09,0
15-Nov-09,84.518
16-Nov-09,0
17-Nov-09,0
18-Nov-09,0
19-Nov-09,0
20-Nov-09,3.166
21-Nov-09,18.913
22-Nov-09,0
23-Nov-09,0
24-Nov-09,0
25-Nov-09,0
26-Nov-09,1.912
27-Nov-09,0.961
28-Nov-09,50.551
29-Nov-09,0
30-Nov-09,0.008
1-Dec-09,1.513
2-Dec-09,0
3-Dec-09,26.907
4-Dec-09,7.458
5-Dec-09,0
6-Dec-09,10.69
7-Dec-09,0
8-Dec-09,0
9-Dec-09,0.668
10-Dec-09,36.889
11-Dec-09,0
12-Dec-09,0
13-Dec-09,0.232
14-Dec-09,18.177
15-Dec-09,0.37
16-Dec-09,0
17-Dec-09,0
18-Dec-09,0
19-Dec-09,0
20-Dec-09,0
21-Dec-09,0.002
22-Dec-09,0
23-Dec-09,0
24-Dec-09,0
25-Dec-09,0
26-Dec-09,0
27-Dec-09,13.833
28-Dec-09,33.938
29-Dec-09,6.431
30-Dec-09,0
31-Dec-09,0
1-Jan-10,3.65
2-Jan-10,5.626
3-Jan-10,9.637
4-Jan-10,5.189
5-Jan-10,0
6-Jan-10,0
7-Jan-10,0
8-Jan-10,0.054
9-Jan-10,0.184
10-Jan-10,0
11-Jan-10,0
12-Jan-10,0
13-Jan-10,0
14-Jan-10,0
15-Jan-10,0
16-Jan-10,0
17-Jan-10,0
18-Jan-10,18.242
19-Jan-10,5.359
20-Jan-10,8.627
21-Jan-10,0.329
22-Jan-10,0
23-Jan-10,0
24-Jan-10,0
25-Jan-10,7.181
26-Jan-10,35.179
27-Jan-10,0.73
28-Jan-10,0
29-Jan-10,1.112
30-Jan-10,0
31-Jan-10,0
1-Feb-10,0
2-Feb-10,0
3-Feb-10,0
4-Feb-10,0.314
5-Feb-10,0
6-Feb-10,0
7-Feb-10,0
8-Feb-10,0
9-Feb-10,0
10-Feb-10,0
11-Feb-10,0
12-Feb-10,0
13-Feb-10,0
14-Feb-10,0
15-Feb-10,0
16-Feb-10,0
17-Feb-10,7.147
18-Feb-10,0
19-Feb-10,0
20-Feb-10,0
21-Feb-10,0
22-Feb-10,0
23-Feb-10,0
24-Feb-10,0.663
25-Feb-10,64.208
26-Feb-10,99.42
27-Feb-10,4.285
28-Feb-10,6.691
1-Mar-10,7.41
2-Mar-10,0.122
3-Mar-10,0
4-Mar-10,0
5-Mar-10,0
6-Mar-10,0
7-Mar-10,0
8-Mar-10,0
9-Mar-10,0
10-Mar-10,0
11-Mar-10,0
12-Mar-10,0.077
13-Mar-10,0
14-Mar-10,15.274
15-Mar-10,76.735
16-Mar-10,3.7
17-Mar-10,0
18-Mar-10,0
19-Mar-10,0
20-Mar-10,0
21-Mar-10,0
22-Mar-10,0
23-Mar-10,23.178
24-Mar-10,59.074
25-Mar-10,5.065
26-Mar-10,5.583
27-Mar-10,0
28-Mar-10,0
29-Mar-10,8.494
30-Mar-10,30.151
31-Mar-10,61.014
1-Apr-10,0.318
2-Apr-10,0
3-Apr-10,0
4-Apr-10,0
5-Apr-10,0
6-Apr-10,0
7-Apr-10,4.119
8-Apr-10,1.163
9-Apr-10,1.212
10-Apr-10,15.76
11-Apr-10,0
12-Apr-10,0
13-Apr-10,0
14-Apr-10,0
15-Apr-10,0
16-Apr-10,0.33
17-Apr-10,16.669
18-Apr-10,7.569
19-Apr-10,1.405
20-Apr-10,0
21-Apr-10,0
22-Apr-10,0.009
23-Apr-10,5.37
24-Apr-10,0.02
25-Apr-10,0
26-Apr-10,0
27-Apr-10,0
28-Apr-10,8.59
29-Apr-10,5.073
30-Apr-10,0
1-May-10,0
2-May-10,2.459
3-May-10,0.002
4-May-10,0
5-May-10,0.909
6-May-10,0.747
7-May-10,0.935
8-May-10,4.684
9-May-10,8.551
10-May-10,0
11-May-10,0
12-May-10,0
13-May-10,0
14-May-10,0
15-May-10,0
16-May-10,0
17-May-10,0
18-May-10,0
19-May-10,15.845
20-May-10,7.681
21-May-10,0
22-May-10,0
23-May-10,0
